ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt0215898,Khaan Dost,1976,157 min,5.6,38,"Action, Crime, Drama            ",hindi
tt1977836,Kalsandhya,1997,124 min,7.8,11,Drama            ,assamese
tt0281721,Chottanikkara Amma,1976,132 min,6.6,8,Drama            ,malayalam
tt1580704,That Girl in Yellow Boots,2010,103 min,6.6,"3,574","Crime, Drama, Mystery            ",kannada
tt0203289,American Desi,2001,100 min,6.6,"1,583","Comedy, Drama, Romance            ",hindi
tt6588966,Hichki,2018,116 min,7.5,"10,905","Comedy, Drama            ",hindi
tt0962716,Babul,1986,162 min,4.8,9,Drama            ,hindi
tt11102314,Tribhanga,2021,95 min,6.1,"2,406","Drama, Family            ",hindi
tt11536276,3 Monkeys,2020,131 min,6.5,82,Drama            ,telugu
tt6650364,Carbon,I 2018,146 min,6.9,"1,115","Adventure, Thriller            ",malayalam
tt0152133,Rahi,1953,139 min,6.9,27,Drama            ,hindi
tt0436165,Chaukat Raja,1991,141 min,7.4,214,Family            ,marathi
tt0273321,Kusruthi Kuruppu,1998,135 min,5.8,40,"Comedy, Drama            ",malayalam
tt0329393,Mr. and Mrs. Iyer,2002,120 min,7.9,"4,681",Drama            ,tamil
tt0254936,Advaitham,1991,181 min,7.0,275,"Action, Crime, Drama            ",malayalam
tt7586994,Kaashi Amarnath,2017,162 min,4.7,11,"Action, Drama, Romance            ",bhojpuri
tt0429541,Afsana Dilwalon Ka,2001,195 min,3.6,"1,024","Drama, Romance            ",urdu
tt8806546,Argentina Fans Kaattoorkadavu,2019,140 min,4.7,319,"Drama, Sport            ",malayalam
tt3848938,Mr. X,2015,133 min,3.8,"1,816","Action, Drama, Sci-Fi            ",hindi
tt0268520,Pakhandi,1984,138 min,6.5,26,Drama            ,hindi
tt2498312,Bachchan,2013,145 min,6.6,926,"Action, Crime, Thriller            ",kannada
tt3877652,Desi Kattey,2014,139 min,4.0,125,Action            ,hindi
tt0329724,Vaddante Dabbu,1954,139 min,6.6,10,"Comedy, Drama            ",telugu
tt6853994,Tharangam,2017,153 min,6.3,478,"Action, Comedy            ",malayalam
tt9729774,Sapthagiri LLB,2017,138 min,7.2,56,"Comedy, Drama            ",telugu
tt5948916,Manamantha,2016,164 min,7.7,840,Drama            ,telugu
tt3411076,1:13:7 Ek Tera Saath,2016,120 min,5.7,57,Horror            ,hindi
tt4597882,Proud to Be a Sikh,2014,92 min,7.2,20,Drama            ,punjabi
tt9081472,Aickarakkonathe Bhishaguaranmaar,2018,144 min,7.8,239,Drama            ,malayalam
tt0242519,Hera Pheri,2000,156 min,8.2,"58,037","Action, Comedy, Crime            ",hindi
tt4219300,Gollu Aur Pappu,2014,112 min,3.7,101,Comedy            ,hindi
tt10152214,Heer Maan Ja,2019,146 min,5.2,187,"Action, Comedy, Family            ",punjabi
tt1774473,Love You to Death,2012,102 min,5.3,7,"Comedy, Thriller            ",hindi
tt0231204,Awara Badal,1964,134 min,5.9,14,"Action, Adventure, Drama            ",bhojpuri
tt6355584,Revelations,2016,118 min,7.3,135,Drama            ,tamil
tt1334254,Maharathi,2008,114 min,7.1,967,"Crime, Drama, Mystery            ",hindi
tt0290258,Paandav,1995,132 min,4.1,533,"Action, Drama            ",hindi
tt1830782,Raam,2009,149 min,6.6,136,"Comedy, Drama            ",kannada
tt1954206,The Dirty Picture,2011,145 min,6.6,"8,815","Biography, Comedy, Drama            ",tamil
tt9602804,The Last Color,2019,90 min,7.7,740,Drama            ,hindi
tt6425820,Rakkhushi,2006,134 min,6.5,10,Drama            ,bengali
tt4575174,Viswasam Athalle Ellam,2015,159 min,4.9,30,"Comedy, Drama            ",malayalam
tt5286444,Neerja,2016,122 min,7.7,"21,192","Biography, Drama, Thriller            ",hindi
tt4271820,OK Kanmani,2015,139 min,7.4,"5,030",Romance            ,tamil
tt6264438,Meen Kuzhambum Mann Paanaiyum,2016,136 min,5.4,98,"Comedy, Fantasy            ",tamil
tt1955036,Vakratunda Mahakaaya,2013,92 min,6.9,75,Comedy            ,marathi
tt0256832,Intiguttu,1958,140 min,7.2,5,"Drama, Family            ",telugu
tt2342405,Uladhaal,2008,130 min,6.0,49,"Drama, Thriller            ",marathi
tt5309284,Arshinagar,2015,134 min,4.5,198,"Drama, Musical, Romance            ",bengali
tt1883330,SHUDRA: The Untouchables,2011,116 min,7.8,23,"Drama, Family, History            ",hindi
tt0488316,Mazaa Mazaa,2005,99 min,2.8,57,Romance            ,hindi
tt5455354,Ek Gadi Baaki Anadi,1988,135 min,7.7,15,Comedy            ,marathi
tt0115568,Army,1996,153 min,4.3,"1,591","Action, Drama            ",hindi
tt2759362,Munnudi,2000,108 min,6.6,12,Family            ,kannada
tt0306934,Halli Mestru,1992,162 min,6.9,56,"Comedy, Drama            ",kannada
tt9680174,Kitty Party,2019,134 min,3.8,5,"Action, Comedy            ",punjabi
tt1891884,Once Upon a Time in Mumbaai Dobara,2013,160 min,4.6,"6,698","Action, Crime, Drama            ",hindi
tt12934616,Little Singham: Kaal Ka Badla,2020,69 min,5.1,9,"Animation, Action            ",hindi
tt0345177,Ek Doctor Ki Maut,1990,122 min,8.3,"1,309","Biography, Drama            ",hindi
tt0246286,The Train,1970,138 min,6.4,148,"Action, Crime, Mystery            ",hindi
tt5602510,Lala Begum,2016,58 min,6.5,21,"Drama, Thriller            ",urdu
tt0178175,Aakhri Ghulam,1989,171 min,5.0,32,"Action, Crime, Drama            ",hindi
tt10300254,Evadu Thakkuva Kadu,2019,125 min,7.5,21,Action            ,telugu
tt3885696,Ice Cream,IV 2014,144 min,3.4,114,"Horror, Thriller            ",telugu
tt5289552,Sasanam,2006,154 min,6.1,16,Drama            ,tamil
tt0408976,Krishna Cottage,2004,124 min,5.1,"1,004","Horror, Mystery            ",hindi
tt0079889,Sankarabharanam,1980,143 min,8.7,"1,985","Drama, Music, Romance            ",telugu
tt0231651,Ghulam Begum Badshah,1956,124 min,6.6,5,"Drama, History            ",hindi
tt8435324,Bombay Rose,2019,97 min,6.1,440,"Animation, Drama, Romance            ",hindi
tt0234571,Ratha Kanneer,1954,154 min,8.1,306,Drama            ,tamil
tt10851886,Madhanam,2019,128 min,8.9,9,"Comedy, Romance            ",telugu
tt0076259,Khoon Pasina,1977,210 min,6.2,352,"Action, Drama            ",hindi
tt0371746,Iron Man,2008,126 min,7.9,"954,861","Action, Adventure, Sci-Fi            ",urdu
tt3966616,Choti Si Kahani,2011– ,680 min,5.7,12,Drama            ,urdu
tt0314665,Shiva Sainya,1996,138 min,8.5,12,"Action, Drama            ",kannada
tt4228746,Zid,2014,126 min,4.4,"1,066","Crime, Romance, Thriller            ",hindi
tt0215534,Ayalathe Sundari,1974,168 min,7.1,8,"Comedy, Musical            ",malayalam
tt0242839,Sampoorna Mahabharat,1983,155 min,7.8,10,"Action, Adventure, Drama            ",gujarati
tt0099869,Izzatdaar,1990,172 min,5.2,177,"Action, Crime, Drama            ",hindi
tt0092049,Tan-Badan,1986,115 min,5.1,37,Drama            ,hindi
tt5625458,Miss Priyambada,1967,93 min,7.1,12,Romance            ,bengali
tt0060306,Devar,1966,156 min,7.2,81,"Crime, Drama, Romance            ",hindi
tt9059202,Kuch Der Aur,2018,65 min,8.5,41,Drama            ,hindi
tt1408029,Krantiveer: The Revolution,2010,159 min,4.6,19,"Action, Crime, Drama            ",hindi
tt8983164,Chhalaang,2020,136 min,6.4,"15,444","Comedy, Drama            ",hindi
tt9176102,Tuesdays and Fridays,2021,106 min,4.5,407,"Comedy, Musical, Romance            ",hindi
tt3029960,Pigman,II 2013,150 min,5.1,32,"Drama, Family            ",malayalam
tt0093578,Mr. India,1987,179 min,7.8,"14,265","Action, Comedy, Drama            ",hindi
tt0305367,Chukkan,1994,158 min,5.0,23,Drama            ,malayalam
tt5940384,Bilu: A demon within,2017,128 min,7.1,133,"Drama, Fantasy            ",bengali
tt4846906,Leather Life,2015,118 min,6.5,10,Drama            ,punjabi
tt0226786,Hum Tum Pe Marte Hain,1999,165 min,5.3,483,"Comedy, Drama, Romance            ",hindi
tt3958596,Borbaad,2014,140 min,5.4,197,"Action, Drama, Romance            ",bengali
tt0277624,Champion Thomas,1990,107 min,5.6,8,Comedy            ,malayalam
tt0366993,Saanjhbatir Roopkathara,2002,120 min,6.2,145,"Drama, Family            ",bengali
tt0464800,Darshan: The Embrace,2005,92 min,6.4,184,Documentary            ,malayalam
tt5304172,Har Har Byomkesh,2015,113 min,6.8,852,"Action, Thriller            ",bengali
tt4920258,Armaan,2013,140 min,6.8,43,"Comedy, Drama, Romance            ",oriya
tt1649435,Vinayakudu,2008,133 min,7.2,79,"Comedy, Romance            ",tamil
tt10083986,Bhinna,2019,95 min,7.4,28,Thriller            ,kannada
tt2958972,Anokha Aspatal,1989,91 min,6.8,12,Comedy            ,hindi
tt0375705,Dhill,2001,158 min,7.0,789,"Action, Drama            ",tamil
tt2064816,"I, Me aur Main",2013,108 min,4.6,"1,807","Comedy, Drama, Musical            ",hindi
tt4504934,Envazhi Thani Vazhi,2015,130 min,3.4,19,Action            ,tamil
tt3563080,Saya E Khuda E Zuljalal,2016,105 min,6.9,129,"Action, Drama, History            ",urdu
tt6471054,Ajji,2017,104 min,6.9,939,Drama            ,hindi
tt1579772,Golmaal,2003,130 min,7.0,595,Comedy            ,telugu
tt0410521,"Right Here, Right Now",2003,28 min,7.9,209,"Short, Comedy, Drama            ",malayalam
tt0069152,Raaste Kaa Patthar,1972,133 min,5.7,83,"Drama, Romance            ",hindi
tt0449306,Lucky: No Time for Love,2005,180 min,4.7,"3,276","Musical, Drama, Romance            ",hindi
tt0080982,Kalyug,1981,152 min,7.8,493,Drama            ,hindi
tt13507408,Theeviram,2020,108 min,5.5,22,"Drama, Thriller            ",tamil
tt0156695,Kavi,1949,151 min,7.5,10,Drama            ,bengali
tt1390821,Chirodini Tumi Je Amar,2008,180 min,6.7,367,Romance            ,bengali
tt8634328,Asees,2018,127 min,7.5,191,Drama            ,punjabi
tt4869678,Superstar Kidnap,2015,120 min,6.6,631,Thriller            ,telugu
tt1430096,Kutty Srank: The Sailor of Hearts,2009,127 min,7.0,494,Drama            ,malayalam
tt4701664,Thiranthidu Seese,2015,123 min,6.5,26,"Drama, Thriller            ",tamil
tt0105866,Yalgaar,1992,192 min,5.4,413,"Action, Drama, Thriller            ",hindi
tt0376787,Naani,2004,155 min,5.3,"1,150",Romance            ,telugu
tt0243447,Nausherwan-E-Adil,1957,137 min,6.4,17,"Action, Adventure, Drama            ",oriya
tt3288670,Sringara Velan,2013,170 min,3.2,217,Comedy            ,tamil
tt0466367,Chand Sa Roshan Chehra,2005,120 min,4.8,52,Romance            ,hindi
tt10919600,Seasons Greeting,2019,47 min,5.4,24,Drama            ,hindi
tt2387495,Jalpari: The Desert Mermaid,2012,94 min,7.1,371,"Drama, Family, Mystery            ",hindi
tt11038702,Dandam,2019,150 min,8.1,15,Action            ,marathi
tt4898962,Oru Naal Iravil,2015,134 min,6.8,143,"Drama, Thriller            ",tamil
tt2615584,Phata Poster Nikhla Hero,2013,146 min,4.8,"4,423","Action, Comedy            ",hindi
tt0242314,Billoo Baadshah,1989,148 min,4.6,39,"Action, Crime, Drama            ",hindi
tt7085078,Prem Geet 2,2017,138 min,7.4,113,"Drama, Romance            ",nepali
tt0929764,Istam,2001,150 min,5.8,37,Romance            ,telugu
tt6975084,Tomake Chai,2017,121 min,5.3,91,Romance            ,bengali
tt9011126,8MM Bullet,2018,146 min,7.0,64,Crime            ,kannada
tt2042607,Nam Naadu,2007,160 min,4.0,18,"Action, Crime, Drama            ",tamil
tt3417422,Drishyam,2013,160 min,8.3,"34,691","Crime, Drama, Thriller            ",malayalam
tt5050580, Dirilis: Ertugrul,2014–2019,120 min,9.2,191,"Action, Adventure, Drama            ",urdu
tt3522722,Kaalai,2008,128 min,3.3,113,Action            ,tamil
tt0157899,Kirayadar,1986,146 min,6.3,75,"Comedy, Drama            ",hindi
tt5293388,Panaah,2015,15 min,7.6,11,"Short, Crime, Drama            ",urdu
tt2871010,Sonali Cable,2014,127 min,5.4,970,"Comedy, Drama            ",hindi
tt1159917,Bombay to Bangkok,2008,120 min,4.6,415,"Comedy, Crime, Romance            ",hindi
tt1851841,Aaghaat,2010,130 min,8.0,39,Drama            ,marathi
tt2230440,Aiven Raula Pai Gaya,2012,153 min,5.4,102,"Comedy, Drama, Musical            ",punjabi
tt8908048,Son Of Manjeet Singh,2018,139 min,7.8,255,"Comedy, Drama, Sport            ",punjabi
tt0158574,Dahleez,1986,161 min,5.3,50,"Action, Drama            ",hindi
tt4171600,Chhota Bheem in the Incan Adventure,2013,65 min,6.5,22,"Animation, Adventure, Fantasy            ",telugu
tt0897374,Munna,2007,167 min,5.6,863,Action            ,telugu
tt7030172,Bhanta,2008,154 min,7.1,8,Drama            ,kannada
tt0156444,Daal Me Kala,1964,128 min,6.0,21,"Comedy, Drama            ",hindi
tt0361796,Khatarnaak,1990,223 min,5.3,80,"Action, Crime, Drama            ",hindi
tt0060444,Gaban,1966,169 min,6.9,39,"Crime, Drama, Romance            ",bhojpuri
tt10465524,A Gift of Love: Sifar,2019,95 min,8.0,29,"Drama, Romance            ",hindi
tt7890672,The Survivor,II 2016,27 min,9.9,7,Short            ,oriya
tt2406674,Paapi - Ek Satya Katha,2013,115 min,3.8,27,Crime            ,bengali
tt1455811,Khatta Meetha,2010,157 min,5.7,"9,698","Comedy, Crime, Drama            ",hindi
tt0271585,Karimpin Poovinakkare,1985,127 min,7.1,68,"Action, Crime, Drama            ",malayalam
tt5642720,Kasaba,2016,137 min,4.7,"1,149","Action, Crime, Thriller            ",telugu
tt10300674,Gubbi Mele Bramhastra,2019,143 min,5.0,119,Comedy            ,kannada
tt7559200,My Friend's Dulhania,2017,87 min,6.4,26,Romance            ,hindi
tt3867586,Riyasat Aka Kingdom of Hearts,2005–2006,"1,040 min",6.2,10,Drama            ,urdu
tt0244549,Inspector Balram,1991,143 min,6.9,335,"Action, Drama, Thriller            ",malayalam
tt11007050,#Yaaram,2019,110 min,4.4,34,"Comedy, Romance            ",hindi
tt2853396,Ponmaalai Pozhudhu,2013,135 min,4.9,26,Romance            ,tamil
tt6634944,The Jinx,2017,118 min,6.0,12,Thriller            ,hindi
tt2420208,Josettante Hero,2012,129 min,3.6,21,Drama            ,malayalam
tt0039654,Neel Kamal,1947,116 min,7.7,75,"Drama, Musical, Romance            ",hindi
tt0260207,Mujhe Insaaf Chahiye,1983,133 min,6.5,45,"Drama, Romance            ",hindi
tt6016672,Mirza Juuliet,2017,130 min,4.1,100,Drama            ,hindi
tt0248500,Swarnakamalam,1988,143 min,7.9,448,"Drama, Musical, Romance            ",telugu
tt11717746,Deadly Affair,2020,97 min,4.2,6,Mystery            ,kannada
tt1240979,Yaariyan,2008,164 min,6.2,68,"Comedy, Drama, Musical            ",punjabi
tt5709164,A Yellow Bird,2016,112 min,5.5,190,Drama            ,tamil
tt4866654,Madhura Naranga,2015,155 min,6.1,301,"Drama, Family, Romance            ",malayalam
tt0215029,Panchavadi Palam,1984,140 min,7.9,327,Comedy            ,malayalam
tt2175823,Nippu,2012,159 min,3.9,327,"Action, Comedy, Drama            ",telugu
tt3996970,Pune Via Bihar,2014,128 min,4.6,15,Romance            ,marathi
tt0230055,Bulandi,2000,175 min,5.4,624,"Action, Drama            ",hindi
tt0148375,Khilona,1970,160 min,7.2,324,"Drama, Musical, Romance            ",hindi
tt0274043,Rektha Sakshikal Zindabad,1998,145 min,5.8,138,"Action, Drama            ",malayalam
tt4373886,Sharafat Gayi Tel Lene,2015,108 min,4.9,272,"Comedy, Drama, Mystery            ",hindi
tt7818136,Bedhadak,2018,126 min,4.8,5,"Action, Drama, Sport            ",marathi
tt5187396,Pralobhan,I 2015,7 min,8.1,9,"Short, Drama            ",nepali
tt0178243,Arohi,1965,124 min,7.2,12,Drama            ,bengali
tt1659205,Harud,2010,96 min,6.4,218,Drama            ,oriya
tt1038915,Shoot on Sight,2007,110 min,6.1,"1,614","Crime, Drama, Thriller            ",urdu
tt8653470,Kurmaiyan,2018,132 min,5.6,33,"Comedy, Drama, Family            ",punjabi
tt8393764,Chhakka Panja 3,2018,145 min,4.9,180,Comedy            ,nepali
tt3327442,Unmanned: America's Drone Wars,2013,63 min,7.5,82,"Documentary, War            ",urdu
tt4977540,Aatagara,2015,129 min,8.0,458,"Mystery, Romance, Thriller            ",kannada
tt9479454,U kathe hero,2018,118 min,6.8,41,"Action, Thriller            ",telugu
tt3142232,Heropanti,2014,146 min,5.3,"8,222","Action, Romance            ",hindi
tt11374042,Preethse,2000,155 min,7.7,26,Thriller            ,kannada
tt1202517,Barah Aana,2009,97 min,6.8,"1,145","Comedy, Crime, Drama            ",hindi
tt0451614,Aamne Samne,1982,143 min,6.4,53,"Action, Crime, Drama            ",hindi
tt4082068,Dheepan,2015,115 min,7.2,"14,676","Crime, Drama            ",tamil
tt0067742,Sharmeelee,1971,164 min,7.0,151,"Mystery, Musical, Romance            ",hindi
tt1579961,Indrajith,1990,130 min,6.7,16,Action            ,telugu
tt3206392,Lucky,V 2012,148 min,6.2,200,"Comedy, Romance            ",kannada
tt5739748,Desh Re Joya Dada Pardesh Joya,1998,167 min,7.4,21,Drama            ,gujarati
tt0831840,Ahista Ahista,2006,122 min,7.0,"1,474","Drama, Romance            ",hindi
tt4807830,Lipstick Under My Burkha,2016,117 min,6.8,"6,288","Comedy, Drama            ",hindi
tt8043306,Teefa In Trouble,2018,155 min,7.2,"3,307","Action, Comedy, Crime            ",urdu
tt0154914,Mundadugu,1983,151 min,5.8,20,"Action, Drama            ",telugu
tt3121604,Duniyadari,2013,142 min,7.4,"1,551",Drama            ,marathi
tt11354948,Navelru... Half Boiled,2019,118 min,7.6,36,Drama            ,kannada
tt0289685,Daava,1997,145 min,4.5,562,"Action, Drama, Romance            ",hindi
tt8719276,Saavi,1985,125 min,4.9,7,Thriller            ,tamil
tt0247911,Aap Mujhe Achche Lagne Lage,2002,180 min,3.1,"2,330","Action, Drama, Romance            ",hindi
tt0400617,Mafia,1996,128 min,5.0,59,Action            ,hindi
tt4865436,Hate Story 3,2015,126 min,4.5,"2,996","Drama, Thriller            ",hindi
tt0292187,Pingami,1994,138 min,7.4,484,"Action, Comedy, Drama            ",malayalam
tt5495236,Itihaas,2002,155 min,7.1,58,"Action, Crime, Drama            ",bengali
tt0237363,Kamaladalam,1992,154 min,7.9,475,"Drama, Musical            ",malayalam
tt6911818,Nodijon,2015,127 min,8.1,12,Drama            ,bengali
tt1451797,Rann,2010,137 min,6.9,"2,449","Drama, Mystery, Thriller            ",hindi
tt0085776,Katha,1983,141 min,7.8,"1,088","Comedy, Drama            ",hindi
tt2171464,Eri Naam Dosti,2001,156 min,6.1,9,"Action, Drama, Romance            ",bengali
tt2188805,Login,2012,125 min,6.1,99,"Drama, Thriller            ",hindi
tt0237022,Balika Badhu,1976,111 min,7.0,221,"Comedy, Drama, Romance            ",hindi
tt0454435,'D',2005,107 min,6.8,"1,181","Crime, Drama, Thriller            ",hindi
tt0307866,Filhaal...,2002,151 min,5.5,241,"Drama, Romance            ",hindi
tt0254999,Bhuvana Sundari Katha,1967,155 min,5.5,8,"Action, Adventure, Drama            ",telugu
tt2228212,Siyaah..,2013,115 min,5.6,122,"Horror, Thriller            ",urdu
tt0833463,Hee Porgi Kunachi,2006,130 min,5.9,16,"Comedy, Drama            ",marathi
tt1097209,"Ami, Yasin Ar Amar Madhubala",2007,115 min,6.3,55,Drama            ,bengali
tt8976498,Jenma Natchathiram,1991,117 min,6.2,5,Drama            ,tamil
tt0271771,Sangham,1988,129 min,6.7,148,"Comedy, Drama            ",malayalam
tt0430647,Sun Sajna,1982,138 min,6.3,21,"Drama, Family, Romance            ",hindi
tt0259433,Meenamasathile Sooryan,1985,117 min,6.0,6,Drama            ,malayalam
tt8364356,Haami,2018,133 min,8.0,"1,045",Drama            ,bengali
tt0147973,Chanda Aur Bijli,1969,137 min,4.8,16,Drama            ,hindi
tt4125324,@Andheri,2014,116 min,4.0,10,"Action, Crime, Thriller            ",malayalam
tt4470938,Rani Kuthir Baki Itihash,2006,96 min,6.5,46,Mystery            ,bengali
tt7243910,Rachna No Dabbo,2017,138 min,6.9,9,Romance            ,gujarati
tt1279229,Khaidi Kalidasu,1977,141 min,8.3,29,"Action, Drama            ",telugu
tt2256833,Seedlings,II 2013,93 min,7.1,160,Drama            ,urdu
tt0222024,Hum Tumhare Hain Sanam,2002,174 min,5.4,"6,508","Drama, Romance            ",hindi
tt1219349,Jau Tithe Khau,2007,125 min,7.0,41,Comedy            ,marathi
tt4335954,My Birthday Song,2018,95 min,5.5,254,Thriller            ,hindi
tt0259612,Tatamma Kala,1974,158 min,8.2,52,Drama            ,telugu
tt5389902,Lacchimdeviki O Lekkundi,2016,107 min,5.1,42,"Comedy, Thriller            ",telugu
tt1573072,Housefull,2010,144 min,5.4,"12,948",Comedy            ,gujarati
tt0371922,Saaya,2003,135 min,5.8,899,"Drama, Fantasy, Mystery            ",hindi
tt11138290,Naan Sirithaal,2020,139 min,5.3,521,"Comedy, Drama            ",tamil
tt5271442,Maalik,2016,155 min,8.3,"3,687","Action, Crime, Drama            ",oriya
tt0271468,Donga Kollu,1988,98 min,6.5,25,"Comedy, Drama            ",telugu
tt4582324,Oru Thundu Padam,2013,18 min,7.0,22,"Short, Comedy            ",malayalam
tt0150101,Chhadmabeshi,1971,122 min,8.1,212,Comedy            ,bengali
